File copied : /root/sailfish/code/static_analysis/analysis/XBORNID.sol
processing /root/sailfish/code/static_analysis/analysis/XBORNID.sol
Installing solc '0.4.26'...
Version '0.4.26' installed.
Switched global version to 0.4.26
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function distr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for totalSupply
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for totalSupply
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function totalSupply
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for XBornID
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for XBornID
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function XBornID
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function balanceOf
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function approve
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function allowance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for onlyOwner
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for onlyOwner
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function onlyOwner
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for canDistr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for canDistr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function canDistr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for onlyWhitelist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for onlyWhitelist
