File copied : /root/sailfish/code/static_analysis/analysis/RobotBTC.sol
processing /root/sailfish/code/static_analysis/analysis/RobotBTC.sol
Installing solc '0.4.26'...
Version '0.4.26' installed.
Switched global version to 0.4.26
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for owned
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function owned
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for _transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for _transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function _transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for slitherConstructorVariables
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for slitherConstructorVariables
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function slitherConstructorVariables
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for onlyOwner
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for onlyOwner
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | State variable assignement do not exist
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function onlyOwner
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function approveAndCall
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for RobotBTC
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for RobotBTC
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function RobotBTC
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transfer
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transferFrom
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for buy
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for buy
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function buy
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for sell
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for sell
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function sell
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function transferOwnership
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for mintToken
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for mintToken
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Processed function mintToken
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Generating return summary for freezeAccount
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Return summary generated for freezeAccount
[INFO] | 2023-12-05 03:39:04 AM | analyzer.RobotBTC | Range graph generated
